Protein_ID,ASA_Bigram
Q9ZFB5,2596.1539504653056
P21608,2228.2432493880806
P0A5P2,4010.3164127026976
P13692,8731.057009335096
P19368,2421.1738901658277
P24943,1880.7911010811254
Q45588,3775.915072030076
P39127,2627.281142440318
P0A3Q0,1668.5820804095495
Q5YLG1,1740.908236138654
Q03091,2753.9081322598163
O52351,3565.4997619551
O87236,5354.245578775309
O87237,6297.286409212673
P16304,2183.6012050372783
P28598,2165.955128596398
P68802,4526.541737349003
P21543,1560.4317272909964
P0C0N4,4741.108165367765
P33379,8603.83286584398
P0C1D7,1563.3237907857128
Q44052,1201.1180900221882
P28611,3330.8507151749363
O34360,2976.3844883053303
P39046,2758.2140380372684
Q53062,1570.8529200528335
Q2RKH8,1448.948242946604
P29094,1755.18676259608
P13485,2764.3957095256496
Q4A6A2,2551.654236077882
Q46337,1563.028900651941
Q99027,2471.3346039231933
Q47N75,2518.7338509261867
P07343,1965.650397035603
P35865,2046.791243351765
P26831,1858.822640212519
Q06539,1580.6893149263647
A5U697,5804.84453436973
A5U654,1954.61066948159
P80172,2663.503877543269
P96710,1936.702503688981
P19579,3424.66345378344
Q05622,2418.213585105444
O07151,2052.457734735317
Q8GJ44,1932.9005230569423
Q83FF5,1821.890923454132
P37487,2172.229028030361
P16449,3221.7799997815723
P82599,5603.4067063736
O34767,2363.753721822415
P39694,4313.96131070757
P54322,1657.9064694157596
A5U127,6644.809499837295
P0A668,2177.539868757335
O34559,1928.172211939801
P0A4V0,1751.2854684491292
P54493,2571.5887982909203
Q46134,2494.8358227298127
P28612,6202.995807538789
P0A5Q4,2717.0799661389315
P39045,1714.6864274759428
Q9S4K9,1621.5149667107319
P0A5P0,2449.9128492703503
Q46336,4309.511044031563
P31141,1039.7462695789004
Q97II1,1948.7266431783023
Q88Z97,1986.139958895844
Q2FZE2,4228.125072491803
P85147,4818.9521582575635
P0A0C1,2211.2388755228444
P0C047,4490.368143764865
Q8DS12,2406.521524526865
O34777,3605.640955662062
P53663,4155.468935916507
P0A334,4304.437411224988
P06886,3442.078357080768
Q04707,2918.6115585369625
Q9ZEP5,5247.84375893943
Q9RC92,1535.6117676181539
P0A4N3,3276.3265870264026
Q933K8,5149.511838066642
P25051,1879.4277686958844
P42237,2392.2792026641087
P0C046,7755.658482503304
P39652,2082.8270972045902
P22266,1813.9093308804188
P14677,2234.198476798223
P15555,1770.800645544933
P02983,2407.4048314029556
P02968,3321.1128393303156
P24011,4584.533695804871
Q1AU26,2148.7535568643825
