Protein_ID,AAO_1,AAO_2,AAO_3,AAO_4,AAO_5,AAO_6,AAO_7,AAO_8,AAO_9,AAO_10,AAO_11,AAO_12,AAO_13,AAO_14,AAO_15,AAO_16,AAO_17,AAO_18,AAO_19,AAO_20
Q55055,-109,-156,-257,-212,-419,-171,-125,-332,-127,-195,-165,-184,-215,-308,-316,-193,-162,-517,-270,-147
Q04959,64,-382,-315,-423,-507,-59,-292,-85,-385,-399,-370,-261,-265,-449,112,-18,-115,-601,-277,-263
Q08429,-75,-107,-101,-139,-256,-55,-55,-199,-89,-180,-169,-65,-106,-194,-163,-55,-77,-288,-124,-131
Q83GS8,-694,-1116,-886,-1034,-2111,-956,-709,-1647,-1370,-722,-869,-816,-1121,-1376,-1496,-783,-755,-2609,-1357,-746
Q8G864,-326,-477,-683,-631,-1152,-428,-395,-838,-781,-573,-458,-523,-592,-757,-1004,-544,-558,-1392,-743,-564
P16169,-155,-432,-141,-251,-798,-307,-329,-391,-340,-367,-439,-338,-390,-393,-593,-182,-151,-369,-201,-335
Q01464,-188,-399,-378,-376,-594,-357,-267,-404,-493,-191,-229,-323,-239,-451,-538,-257,-257,-898,-490,-200
P10547,3,-383,-222,-404,-1108,-1,-52,-415,-555,-696,-751,-106,-605,-1048,253,173,177,-1211,-721,-375
P02983,95,-1085,-952,-1426,-788,-809,-1283,-318,-1104,110,76,-1149,149,141,-821,-132,-166,-458,-393,13
P81715,-61,-372,-223,-349,-1049,-258,-321,-377,-399,-420,-443,-333,-412,-514,-506,9,-40,-881,-378,-254
P54571,-84,-798,-680,-881,-760,-593,-698,-582,-819,-109,-149,-605,-76,-414,-765,-210,-88,-930,-520,-102
Q03377,-115,-140,-157,-142,-292,-119,-81,-225,-137,-168,-156,-115,-136,-184,-235,-122,-94,-304,-123,-161
P54422,-66,-590,-534,-687,-1214,-383,-526,-569,-651,-665,-555,-496,-418,-864,-685,-175,-235,-1261,-742,-494
Q9S4K9,-140,-665,-577,-683,-769,-560,-554,-684,-629,-458,-459,-578,-470,-642,-770,-409,-385,-1075,-581,-388
Q48919,217,-376,-285,-326,-609,-162,-139,-238,-489,-483,-521,-216,-358,-700,411,74,31,-834,-568,-286
O50515,-3,-126,-115,-129,-219,-65,-55,-151,-143,-115,-118,-82,-91,-203,-194,-54,-51,-283,-208,-90
Q05523,-69,-307,-273,-353,-851,-178,-242,-447,-427,-388,-356,-131,-194,-520,-492,-102,-50,-789,-424,-286
P28611,-34,-307,-309,-394,-583,-226,-223,-307,-396,-124,-147,-208,-19,-320,-445,-151,-134,-619,-336,-124
P35865,0,-1125,-813,-1316,-817,-911,-1156,-411,-1122,113,-55,-959,-99,125,-920,-216,-229,-553,-357,23
P35166,-163,-320,-299,-335,-711,-119,-118,-642,-450,-416,-415,-176,-246,-589,-458,-55,-131,-902,-482,-281
Q93QY7,-217,-923,-1097,-1365,-1668,-844,-1037,-1138,-1167,-341,-262,-896,-285,-501,-1426,-484,-438,-1385,-636,-300
Q8GJ44,-184,-779,-123,-562,-1334,-408,-601,-314,-782,-812,-950,-525,-731,-890,-936,36,32,-1099,-577,-595
Q5YLG1,-216,-917,-551,-812,-1633,-649,-801,-796,-880,-1055,-965,-703,-801,-1014,-1050,-264,-377,-1440,-684,-795
P42237,54,-1090,-889,-1425,-729,-848,-1255,-305,-1123,108,53,-1115,116,152,-808,-197,-179,-486,-383,-28
P29094,-409,-614,-362,-382,-1362,-471,-507,-644,-343,-755,-591,-654,-553,-492,-775,-404,-490,-583,-322,-656
Q933K8,85,-364,-312,-370,-832,-107,-135,-233,-554,-735,-681,-233,-416,-907,-407,-12,-188,-1039,-714,-498
P22637,-14,-343,-326,-467,-872,-329,-372,-282,-531,-560,-545,-357,-389,-714,-454,-48,-66,-949,-576,-384
Q9RC92,-226,-325,-251,-325,-810,-191,-197,-515,-322,-489,-464,-228,-333,-446,-585,-162,-191,-684,-261,-433
P45618,-97,-250,-186,-189,-401,-160,-146,-235,-260,-122,-202,-111,-154,-254,-269,-123,-86,-477,-287,-93
Q828D2,-183,-124,-259,-252,-716,-71,-79,-506,-398,-395,-431,31,-305,-592,-398,-219,-239,-835,-517,-316
P12669,-67,-151,-114,-131,-238,-76,-73,-228,-147,-139,-148,-91,-86,-174,-188,-27,-46,-281,-140,-101
P39755,-146,-1317,-1007,-1490,-1114,-1067,-1294,-770,-1165,68,131,-1172,190,17,-1182,-255,-294,-960,-398,-207
P46921,-24,-479,-524,-657,-695,-433,-550,-322,-645,71,34,-514,-13,-107,-443,-190,-120,-373,-268,26
P53627,-187,-521,-422,-586,-1257,-429,-405,-678,-656,-923,-860,-410,-566,-1035,-579,-164,-199,-1220,-732,-640
O32885,-293,-381,-510,-471,-1155,-247,-178,-866,-669,-626,-619,-292,-503,-992,-985,-342,-421,-1307,-818,-604
P39128,-67,-502,-490,-701,-759,-423,-606,-392,-658,48,23,-500,-29,51,-451,-179,-112,-321,-192,-17
P71756,-273,-168,-448,-450,-909,-343,-252,-628,-433,-346,-358,-321,-357,-536,-719,-368,-321,-962,-457,-405
P39597,-8,-307,-274,-279,-772,-133,-221,-360,-407,-430,-378,-245,-268,-547,-393,-68,-109,-856,-530,-322
Q08002,-288,-376,-140,-344,-902,-176,-160,-667,-397,-598,-566,-196,-344,-691,-619,-65,-185,-1067,-523,-461
P19571,-312,-537,-144,-285,-1165,-463,-517,-466,-284,-582,-541,-577,-402,-363,-695,-276,-313,-475,-185,-544
Q55242,-85,-803,-180,-479,-1887,-314,-189,-932,-976,-1207,-1359,-224,-1018,-1675,-309,192,234,-2145,-1253,-809
P06535,-191,-198,-169,-189,-438,-83,-111,-381,-160,-254,-216,-159,-134,-288,-370,-128,-114,-483,-204,-239
P38037,-140,-74,-135,-151,-267,-103,-102,-218,-138,-127,-148,-48,-105,-209,-218,-113,-99,-274,-178,-113
P80734,-32,-116,-134,-138,-232,-52,-58,-227,-132,-160,-148,-51,-95,-207,-160,-39,-70,-307,-154,-108
P07373,-270,-799,-849,-1091,-902,-716,-899,-648,-834,-134,-97,-775,-121,-194,-935,-387,-427,-762,-486,-222
P35594,-535,-590,-955,-861,-2114,-484,-296,-1420,-1305,-858,-910,-381,-851,-1724,-1564,-666,-756,-2498,-1561,-850
Q9EYW6,-120,-116,-82,-134,-236,-40,-93,-220,-76,-131,-120,-110,-77,-154,-220,-67,-43,-265,-93,-112
Q9ZN78,52,-97,-288,-219,-564,-101,-94,-283,-257,-319,-294,-169,-228,-420,-420,-64,-162,-637,-373,-236
Q46337,-235,-993,-1272,-1314,-2165,-966,-908,-1105,-1280,-1243,-1202,-1000,-1080,-1689,-1518,-771,-663,-2574,-1541,-836
Q2FV54,-203,-664,-667,-934,-1146,-478,-681,-849,-710,-296,-253,-514,-233,-351,-765,-251,-200,-892,-368,-281
P34956,-399,-1367,-1127,-1562,-1497,-1094,-1335,-1015,-1098,-362,-324,-1271,-113,-210,-1274,-574,-431,-906,-433,-363
P12921,-153,-151,-192,-268,-431,-114,-149,-340,-220,-219,-229,-155,-130,-300,-321,-140,-119,-488,-239,-193
P17670,-149,-375,-192,-326,-570,-207,-235,-358,-287,-341,-306,-208,-320,-382,-460,-232,-237,-510,-321,-299
P29958,-1,-426,-565,-593,-1632,-159,-416,-634,-839,-972,-728,-456,-594,-1017,-683,-174,-378,-1244,-785,-680
P21938,-228,-480,-451,-478,-1157,-367,-362,-593,-488,-731,-627,-385,-495,-679,-804,-377,-388,-1093,-563,-609
P11931,-1034,-1611,-1496,-1610,-2910,-1399,-1141,-2349,-1775,-1408,-1561,-1103,-1483,-1891,-2401,-1344,-1226,-2779,-1701,-1379
P42450,-248,-751,-755,-867,-1756,-577,-648,-1130,-968,-1047,-1023,-651,-789,-1436,-1241,-532,-537,-1935,-1235,-828
Q7TWW7,-319,-711,-693,-745,-1195,-593,-526,-895,-816,-689,-769,-521,-542,-1076,-1043,-489,-446,-1376,-909,-576
O32221,-27,-88,-99,-111,-148,-54,-58,-142,-130,-85,-114,-49,-100,-175,-172,-57,-36,-271,-166,-47
Q10900,-201,-1811,-1800,-2164,-2723,-1342,-1512,-1918,-2350,-1034,-1314,-1611,-1017,-2131,-2147,-643,-590,-3551,-2289,-687
P65563,-91,-299,-273,-333,-310,-253,-267,-239,-284,-27,-17,-268,-19,-23,-256,-128,-118,-198,-108,-58
A9Q0M7,-6,-75,4,-92,-119,-43,-63,-9,-75,-98,-106,-29,-70,-117,-134,-4,-19,-118,-86,-73
Q9LAB5,-89,-179,-81,-215,-363,-101,-136,-244,-167,-208,-262,-69,-147,-270,-308,-59,-37,-444,-192,-137
P45706,-16,-416,-403,-559,-467,-316,-462,-207,-490,-27,37,-377,-47,-75,-368,-128,-121,-422,-264,-42
A5H1G9,6,-134,-115,-144,-119,-99,-113,-117,-158,-39,-70,-97,-51,-134,-154,-32,-20,-197,-118,-20
Q09T02,-30,-89,-75,-71,-87,-51,-55,-123,-116,-62,-69,-74,-43,-129,-93,-17,-6,-160,-112,-41
Q9KJT6,-27,-269,92,-221,-506,-73,-215,-155,-130,-396,-444,-201,-297,-347,-370,90,28,-460,-60,-273
P32396,-292,-504,-631,-640,-898,-437,-442,-802,-560,-536,-525,-483,-530,-691,-744,-421,-450,-1016,-581,-494
P0A618,-74,-234,-199,-219,-417,-118,-143,-265,-278,-130,-115,-102,-147,-173,-242,-144,-108,-362,-210,-89
P21543,-634,-1376,-842,-1136,-2718,-992,-1144,-1272,-1058,-1641,-1591,-1265,-1258,-1500,-1640,-621,-669,-1840,-1025,-1338
P09879,-115,-198,-117,-205,-433,-67,-98,-407,-282,-212,-221,-113,-132,-391,-334,-55,-35,-589,-313,-128
Q03091,-104,-194,-148,-259,-538,-99,-141,-312,-278,-403,-372,-125,-255,-430,-342,-46,-104,-547,-301,-318
