Protein_ID,SS3_ACOV_Lag1_C,SS3_ACOV_Lag1_H,SS3_ACOV_Lag1_E,SS3_ACOV_Lag2_C,SS3_ACOV_Lag2_H,SS3_ACOV_Lag2_E,SS3_ACOV_Lag3_C,SS3_ACOV_Lag3_H,SS3_ACOV_Lag3_E,SS3_ACOV_Lag4_C,SS3_ACOV_Lag4_H,SS3_ACOV_Lag4_E,SS3_ACOV_Lag5_C,SS3_ACOV_Lag5_H,SS3_ACOV_Lag5_E,SS3_ACOV_Lag6_C,SS3_ACOV_Lag6_H,SS3_ACOV_Lag6_E,SS3_ACOV_Lag7_C,SS3_ACOV_Lag7_H,SS3_ACOV_Lag7_E,SS3_ACOV_Lag8_C,SS3_ACOV_Lag8_H,SS3_ACOV_Lag8_E,SS3_ACOV_Lag9_C,SS3_ACOV_Lag9_H,SS3_ACOV_Lag9_E,SS3_ACOV_Lag10_C,SS3_ACOV_Lag10_H,SS3_ACOV_Lag10_E
Q9ZFB5,0.11454204866710893,0.6329529961349255,2.1758051682997563e-05,0.10142046374546299,0.6231920447659453,1.9344702483454026e-05,0.08645774520301847,0.6107556960605867,1.8106510960900448e-05,0.0726885516923211,0.5977006769225887,1.728266595091121e-05,0.06069836483772124,0.5861649889655767,1.6417818839350257e-05,0.05222997166450855,0.5776324333171244,1.5506701308142917e-05,0.0465863947809707,0.5715100631826497,1.4576363591816356e-05,0.0431728371464518,0.5672921471929616,1.3581705297103186e-05,0.04174786399148591,0.564779256401457,1.2593629028262391e-05,0.041681817504523634,0.5635454066464844,1.2147868496712247e-05
P21608,0.12655709332202864,0.6066707572632842,7.932665578037363e-05,0.11538679940886196,0.5981782573795574,6.873152067957025e-05,0.10253047231952181,0.5873115615292568,6.034090635832676e-05,0.09020080318402782,0.5763315325764733,5.405468012145713e-05,0.08034925361964686,0.5675109733895362,4.998972349994776e-05,0.07321694763301041,0.5611874002825249,4.7304736614761856e-05,0.06802459695347289,0.5566299064793292,4.4006465071209264e-05,0.0641972763686662,0.5534919284817074,4.075088819827537e-05,0.061342079942389216,0.5513260910236559,3.905896761332981e-05,0.05893890606630187,0.5496214337221651,3.700182761867825e-05
P0A5P2,0.32831454847020425,0.08978100933283893,0.13076828611880625,0.30183846474130427,0.08497750646287794,0.1127675130989658,0.27691168252094567,0.07941704797815352,0.09390860299010113,0.2598365605619961,0.07408142305707816,0.08059928757420816,0.255618464655578,0.06873312163387019,0.07791350331677765,0.2612486144495563,0.0631447223155405,0.08525518988217971,0.2686104019292906,0.05743503380191619,0.09409640681281743,0.2736931972576929,0.05202844780973519,0.1009368000585791,0.27257137852382773,0.0468844153117125,0.10187366202112363,0.26590013779997235,0.041496828717838476,0.09715456470692696
P13692,0.31307681433915086,0.43701257514511327,0.05396352085706949,0.3048580035316724,0.436532658878564,0.04693502752811624,0.2972052165113204,0.435783243064578,0.0399768822125479,0.29151953961130034,0.4349810434182863,0.035175974898179314,0.28926132433494,0.4343161296585016,0.03339297446429728,0.2885584774013948,0.4337458555651877,0.03337223122828801,0.28890251619167984,0.43322675510214875,0.0345079574502389,0.29017367336589006,0.43266688927032804,0.03652826289036229,0.29261365713101484,0.43204403208013825,0.03899366378464724,0.29390275497698654,0.4313124191275431,0.04031293762538947
P19368,0.24862613051775306,0.24628262844687815,0.0965374201585634,0.22746665982213074,0.2349295261208649,0.0853049382302289,0.20970743056003538,0.22209080533294173,0.07409381145181115,0.1969714447616184,0.21096367224307033,0.06478759188825581,0.18883460709373293,0.20039128897659486,0.059247924885087344,0.18451943567002352,0.18884644430154923,0.05750001397001533,0.18284607712543308,0.17725843302676592,0.0566152268596626,0.1822162151057696,0.16542799964314672,0.05553323991539878,0.18188085784373834,0.15415002806337322,0.05419390644753309,0.1810569021997113,0.143385871774929,0.05239480011395356
P24943,0.13864906649978037,0.6018733966346315,0.00029956840017351824,0.12350506872458135,0.5888935716641039,0.00023844776003933914,0.10739701282329807,0.5737054703284505,0.00020306563309953704,0.09229265190131022,0.5584934057254712,0.00018902005741844413,0.08029861535680444,0.5459179425552176,0.00018454001829863598,0.07208825993898241,0.5364319070301338,0.00018018215023041172,0.06664170613578935,0.5295050076601489,0.00016726394810102197,0.06362660309377309,0.5249376614658081,0.00015516244307473798,0.06172827055749461,0.5213589096822623,0.00014236309457083178,0.0599455118041314,0.5178442190593078,0.0001262001159975441
Q45588,0.2116522145364879,0.32821476686277673,0.10880204478883454,0.18314149961227824,0.31817264735624906,0.09500455749565304,0.1608477361705628,0.3064054704323504,0.08776801243825348,0.14594605151634263,0.29481170037163984,0.0848941980032999,0.1395498123647789,0.28505906537683107,0.08811009078012412,0.13630652742241461,0.2761821167690675,0.09317551511134209,0.13198802837858647,0.2680813719772842,0.09447573118299515,0.12620886681167195,0.2611372594844309,0.09169379195403617,0.12317043423347926,0.25522133980310147,0.08877579202022151,0.12641491311284486,0.2505898955867081,0.09024583253723892
P39127,0.21270066261295822,0.2617460884440376,0.12205618348890047,0.18938769938251918,0.25091156027784406,0.10785415883036492,0.16719553333599516,0.23790469988504306,0.09199573303414325,0.14971868078095363,0.224076505012907,0.07834307087789145,0.1419558788728037,0.211193907925403,0.06967074759740115,0.14044525709890912,0.1996424123891353,0.06551395981469275,0.14094660048737734,0.18860255462167677,0.06355692572128971,0.14308280143309196,0.178584778380137,0.06314033936374194,0.14611000221765758,0.17102332902242004,0.06371248961660665,0.14940382593020013,0.1661829012309831,0.06444468692643933
P0A3Q0,0.24636351056702765,0.3128552315577244,0.060903859691644156,0.22663400588867053,0.3001299676811775,0.05261189692584597,0.20625119657721946,0.28645455905730294,0.04272769392629495,0.18913704432641557,0.2734056190596172,0.03384518767515088,0.1785431178397114,0.261631340397244,0.027663043812854945,0.1742104902851568,0.25083843499614555,0.02432934823006885,0.17455041875252547,0.24136726992429783,0.02269684287840434,0.1766924737184843,0.232922204335821,0.02204812054782882,0.178177404537569,0.22484797289210914,0.021472792183291498,0.1791772447423046,0.21867356744798,0.02066576659609713
Q5YLG1,0.2542219109056193,0.2713874431766135,0.09298951377790986,0.2376184135107475,0.2637562264345968,0.08382794097796721,0.22123977628460847,0.2551244712272989,0.0747158668135134,0.20718450033444272,0.24713061145343226,0.06661695014250682,0.1973816405914844,0.24033829295519818,0.060551194317885096,0.1911235391223955,0.23453798809055904,0.056192151022877224,0.1883202300179344,0.22944035756088774,0.053916008480654386,0.18812702209812868,0.224546344811663,0.05383568914204921,0.1888181060925628,0.2193507241628726,0.055209596910814646,0.18907277739896208,0.21395087090532292,0.05696998097547943
